country,state,county,lat,lon,site_number,monitoring_period,o3_observations,pm25_observations,no2_observations,site_address,data_source
US,Texas,Gregg County,32.378696,-94.711813,1,2019-01-01 - 2024-06-30,5942,0,2006,Gregg Co Airport near Longview,EPA
US,Texas,Harrison County,32.669001,-94.167468,2,2019-01-01 - 2024-06-30,2421,1199,1938,Hwy 134 & Spur 449,EPA
US,Texas,Victoria County,28.836214,-97.005525,3,2019-01-01 - 2024-06-30,3921,0,0,106 Mockingbird Lane,EPA
US,Texas,Maverick County,28.704607,-100.451156,4,2019-01-01 - 2024-06-30,0,1885,0,265 Foster Maldonado,EPA
US,Texas,Kaufman County,32.564968,-96.317687,5,2019-01-01 - 2024-06-30,3961,775,1950,3790 S Houston St,EPA
US,Texas,Cameron County,25.892518,-97.49383,6,2019-01-01 - 2023-04-03,0,1489,0,344 Porter Drive,EPA
US,Texas,Smith County,32.344027,-95.415754,7,2019-01-01 - 2024-06-30,1998,0,1984,14790 County Road 1145,EPA
US,Texas,Jefferson County,30.036422,-94.071061,9,2019-01-01 - 2024-06-30,1952,0,1998,1086 Vermont Avenue,EPA
US,Texas,Jefferson County,29.897516,-93.991084,11,2019-01-01 - 2024-06-30,1922,0,0,623 Ellias Street,EPA
US,Texas,Travis County,30.354944,-97.761803,14,2019-01-01 - 2024-06-30,1735,1283,1607,3824 North Hills Drive,EPA
US,Texas,Webb County,27.507904,-99.523949,16,2019-01-01 - 2024-06-30,2704,170,1112,West End Washington Street,EPA
US,Texas,Travis County,30.483163,-97.875084,20,2019-01-01 - 2024-06-30,1962,0,0,12200 Lime Creek Rd,EPA
US,Texas,Jefferson County,29.922894,-93.909018,21,2019-01-01 - 2024-06-30,0,3795,0,2200 Jefferson Drive,EPA
US,Texas,Jefferson County,29.863957,-94.317802,22,2019-01-01 - 2024-06-30,1901,1813,1830,12552 Second St,EPA
US,Texas,Harris County,29.901036,-95.326137,24,2019-01-01 - 2024-06-30,1928,1855,1878,4510 1/2 Aldine Mail Rd,EPA
US,Texas,Nueces County,27.76534,-97.434262,25,2019-01-01 - 2024-06-30,1976,0,0,902 Airport Road,EPA
US,Texas,Nueces County,27.832413,-97.555387,26,2019-01-01 - 2024-06-30,3956,0,1899,9860 La Branch,EPA
US,Texas,Harris County,30.039524,-95.673951,29,2019-01-01 - 2024-06-30,3893,0,1875,16822 Kitzman,EPA
US,Texas,Bexar County,29.51509,-98.620166,32,2019-01-01 - 2024-06-30,1995,3904,1909,6655 Bluebird Lane,EPA
US,Texas,Denton County,33.219069,-97.196284,34,2019-01-01 - 2024-06-30,1935,2628,1925,Denton Airport South,EPA
US,Texas,El Paso County,31.768286,-106.501243,37,2019-01-01 - 2021-11-16,1039,155,913,250 Rim Rd,EPA
US,Texas,Hidalgo County,26.226343,-98.29085,43,2019-01-01 - 2024-06-30,1599,1621,0,2300 North Glasscock,EPA
US,Texas,El Paso County,31.765685,-106.455227,44,2019-01-01 - 2024-06-30,1969,1887,1644,800 S San Marcial Street,EPA
US,Texas,Harris County,29.828086,-95.284096,46,2019-01-01 - 2024-06-30,1970,1092,0,7330 1/2 North Wayside,EPA
US,Texas,Harris County,29.834167,-95.489167,47,2019-01-01 - 2024-06-30,1990,0,1940,4401 1/2 Lang Rd,EPA
US,Texas,Dallas County,32.774262,-96.797686,50,2019-01-03 - 2024-06-30,0,1109,0,717 South Akard,EPA
