,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Note
1,01/01/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,25.688,PurpleAir,2019,1,1,NA,
2,01/02/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,14.592,PurpleAir,2019,1,2,-11.096,
3,01/03/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.677,PurpleAir,2019,1,3,-9.915,
4,01/04/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.5845,PurpleAir,2019,1,4,1.9075,
5,01/05/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.3845,PurpleAir,2019,1,5,-2.2,
6,01/06/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.986,PurpleAir,2019,1,6,3.6015,
7,01/07/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.9565,PurpleAir,2019,1,7,1.9705,
8,01/08/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,14.9415,PurpleAir,2019,1,8,4.985,
9,01/09/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,0.7105,PurpleAir,2019,1,9,-14.231,
10,01/10/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.01,PurpleAir,2019,1,10,1.2995,
11,01/11/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.8545,PurpleAir,2019,1,11,2.8445,
12,01/12/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.213,PurpleAir,2019,1,12,1.3585,
13,01/13/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.4285,PurpleAir,2019,1,13,2.2155,
14,01/14/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,25.1605,PurpleAir,2019,1,14,16.732,
15,01/15/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,25.2915,PurpleAir,2019,1,15,0.131,
16,01/16/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,27.702,PurpleAir,2019,1,16,2.4105,
17,01/17/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.3135,PurpleAir,2019,1,17,-19.3885,
18,01/18/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,15.8225,PurpleAir,2019,1,18,7.509,
19,01/19/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.75,PurpleAir,2019,1,19,-8.0725,
20,01/20/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.407,PurpleAir,2019,1,20,-6.343,
21,01/21/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,10.6935,PurpleAir,2019,1,21,9.2865,
22,01/22/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.2235,PurpleAir,2019,1,22,-5.47,
23,01/23/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.656,PurpleAir,2019,1,23,0.4325,
24,01/24/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.593,PurpleAir,2019,1,24,-3.063,
25,01/25/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.7065,PurpleAir,2019,1,25,-0.8865,
26,01/26/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.3225,PurpleAir,2019,1,26,0.616,
27,01/27/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.82,PurpleAir,2019,1,27,2.4975,
28,01/28/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.972,PurpleAir,2019,1,28,4.152,
29,01/29/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.1785,PurpleAir,2019,1,29,-7.7935,
30,01/30/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.1965,PurpleAir,2019,1,30,2.018,
31,01/31/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.1665,PurpleAir,2019,1,31,1.97,
32,02/01/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.402,PurpleAir,2019,2,1,2.2355,
33,02/02/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,15.1195,PurpleAir,2019,2,2,7.7175,
34,02/03/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,19.894,PurpleAir,2019,2,3,4.7745,
35,02/04/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,34.509,PurpleAir,2019,2,4,14.615,
36,02/05/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,40.879,PurpleAir,2019,2,5,6.37,
37,02/06/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,43.516,PurpleAir,2019,2,6,2.637,
38,02/07/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,22.916,PurpleAir,2019,2,7,-20.6,
39,02/08/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.0885,PurpleAir,2019,2,8,-15.8275,
40,02/09/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,15.4445,PurpleAir,2019,2,9,8.356,
41,02/10/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.894,PurpleAir,2019,2,10,-6.5505,
42,02/11/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,17.1795,PurpleAir,2019,2,11,8.2855,
43,02/12/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.233,PurpleAir,2019,2,12,-12.9465,
44,02/13/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.725,PurpleAir,2019,2,13,-1.508,
45,02/14/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.934,PurpleAir,2019,2,14,0.209,
46,02/15/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.535,PurpleAir,2019,2,15,5.601,
47,02/16/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,20.7315,PurpleAir,2019,2,16,12.1965,
48,02/17/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,19.349,PurpleAir,2019,2,17,-1.3825,
49,02/18/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.5825,PurpleAir,2019,2,18,-13.7665,
50,02/19/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,11.5775,PurpleAir,2019,2,19,5.995,
51,02/20/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.8425,PurpleAir,2019,2,20,-6.735,
52,02/21/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.5205,PurpleAir,2019,2,21,1.678,
53,02/22/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,14.73,PurpleAir,2019,2,22,8.2095,
54,02/23/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.463,PurpleAir,2019,2,23,-7.267,
55,02/24/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.502,PurpleAir,2019,2,24,-5.961,
56,02/25/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.2,PurpleAir,2019,2,25,3.698,
57,02/26/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,10.0485,PurpleAir,2019,2,26,4.8485,
58,02/27/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,13.0035,PurpleAir,2019,2,27,2.955,
59,02/28/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,19.86,PurpleAir,2019,2,28,6.8565,
