,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Notes
183,03/15/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,93.38,PurpleAir,2023,3,15,68.629,https://www.chron.com/weather/article/houston-smoke-air-quality-texas-17840892.php
115,01/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,76.752,PurpleAir,2023,1,1,48.366,New Year's celebrations
174,03/06/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,53.0325,PurpleAir,2023,3,6,5.42,
252,05/23/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,51.085,PurpleAir,2023,5,23,7.213,
253,05/24/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,50.6865,PurpleAir,2023,5,24,-0.3985,
136,01/27/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,48.491,PurpleAir,2023,1,27,25.7915,
256,05/27/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,47.99,PurpleAir,2023,5,27,13.984,
173,03/05/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,47.6125,PurpleAir,2023,3,5,21.799,
251,05/22/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,43.872,PurpleAir,2023,5,22,7.453,
348,09/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,39.54,PurpleAir,2023,9,11,17.9415,
126,01/17/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,38.961,PurpleAir,2023,1,17,25.4755,
257,05/28/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,37.4645,PurpleAir,2023,5,28,-10.5255,
177,03/09/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,37.4225,PurpleAir,2023,3,9,3.636,
250,05/21/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,36.419,PurpleAir,2023,5,21,25.1435,
163,02/23/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,36.1235,PurpleAir,2023,2,23,10.559,
152,02/12/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,36.0965,PurpleAir,2023,2,12,27.18,
255,05/26/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,34.006,PurpleAir,2023,5,26,0.928,
338,09/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,33.89,PurpleAir,2023,9,1,7.981,
176,03/08/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,33.7865,PurpleAir,2023,3,8,1.797,
234,05/05/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,33.3085,PurpleAir,2023,5,5,10.8905,
254,05/25/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,33.078,PurpleAir,2023,5,25,-17.6085,
267,06/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,32.9375,PurpleAir,2023,6,7,6.72,
43,05/08/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,32.6185,PurpleAir,2022,5,8,9.6265,
175,03/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,31.9895,PurpleAir,2023,3,7,-21.043,
180,03/12/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,31.853,PurpleAir,2023,3,12,8.9495,
119,01/05/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,30.776,PurpleAir,2023,1,5,20.4435,
178,03/10/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,30.397,PurpleAir,2023,3,10,-7.0255,
194,03/26/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,29.9575,PurpleAir,2023,3,26,10.355,
195,03/27/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,29.2235,PurpleAir,2023,3,27,-0.734,
168,02/28/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,29.1685,PurpleAir,2023,2,28,8.2105,
275,06/15/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,28.4375,PurpleAir,2023,6,15,4.279,
114,12/31/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,28.386,PurpleAir,2022,12,31,18.726,
155,02/15/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,28.3855,PurpleAir,2023,2,15,19.0965,
277,06/17/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,27.9675,PurpleAir,2023,6,17,4.057,
262,06/02/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,27.845,PurpleAir,2023,6,2,5.164,
188,03/20/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,27.3215,PurpleAir,2023,3,20,19.358,
166,02/26/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,27.2915,PurpleAir,2023,2,26,4.476,
266,06/06/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,26.2175,PurpleAir,2023,6,6,6.0435,
339,09/02/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,26.121,PurpleAir,2023,9,2,-7.769,
337,08/31/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,25.909,PurpleAir,2023,8,31,5.447,
172,03/04/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,25.8135,PurpleAir,2023,3,4,16.338,
123,01/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,25.713,PurpleAir,2023,1,14,22.055,
55,05/20/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,25.6375,PurpleAir,2022,5,20,15.1835,
162,02/22/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,25.5645,PurpleAir,2023,2,22,12.995,
235,05/06/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,25.438,PurpleAir,2023,5,6,-7.8705,
236,05/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,24.9735,PurpleAir,2023,5,7,-0.4645,
182,03/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,24.751,PurpleAir,2023,3,14,16.0935,
202,04/03/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,24.6395,PurpleAir,2023,4,3,2.5475,
153,02/13/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,24.6,PurpleAir,2023,2,13,-11.4965,
274,06/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,24.1585,PurpleAir,2023,6,14,14.93,
203,04/04/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,24.022,PurpleAir,2023,4,4,-0.6175,
276,06/16/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,23.9105,PurpleAir,2023,6,16,-4.527,
237,05/08/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,23.4325,PurpleAir,2023,5,8,-1.541,
260,05/31/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,23.1815,PurpleAir,2023,5,31,7.7385,
169,03/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,23.1635,PurpleAir,2023,3,1,-6.005,
42,05/07/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,22.992,PurpleAir,2022,5,7,8.575,
179,03/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,22.9035,PurpleAir,2023,3,11,-7.4935,
165,02/25/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,22.8155,PurpleAir,2023,2,25,4.251,
170,03/02/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,22.706,PurpleAir,2023,3,2,-0.4575,
135,01/26/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,22.6995,PurpleAir,2023,1,26,19.4335,
261,06/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,22.681,PurpleAir,2023,6,1,-0.5005,
