"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"1","2021-02-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,74.041,"PurpleAir",2021,2,5,NA
"2","2021-02-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,70.9945,"PurpleAir",2021,2,8,-3.04649999999999
"3","2021-02-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,0,"PurpleAir",2021,2,23,-70.9945
"4","2021-07-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,17.975,"PurpleAir",2021,7,10,17.975
"5","2021-07-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.0815,"PurpleAir",2021,7,19,-10.8935
"6","2021-07-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.929,"PurpleAir",2021,7,20,3.8475
"7","2021-07-21",32.4871,-97.04825,"Worth Court",99159,NA,NA,31.639,"PurpleAir",2021,7,21,20.71
"8","2021-07-22",32.4871,-97.04825,"Worth Court",99159,NA,NA,33.075,"PurpleAir",2021,7,22,1.436
"9","2021-07-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.8385,"PurpleAir",2021,7,23,-23.2365
"10","2021-07-24",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.176,"PurpleAir",2021,7,24,0.3375
"11","2021-07-25",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.56,"PurpleAir",2021,7,25,-0.616
"12","2021-07-26",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.999,"PurpleAir",2021,7,26,-2.561
"13","2021-07-27",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.2645,"PurpleAir",2021,7,27,3.2655
"14","2021-07-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.559,"PurpleAir",2021,7,28,1.2945
"15","2021-07-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.886,"PurpleAir",2021,7,29,4.327
"16","2021-07-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,21.7775,"PurpleAir",2021,7,30,5.8915
"17","2021-07-31",32.4871,-97.04825,"Worth Court",99159,NA,NA,19.5635,"PurpleAir",2021,7,31,-2.214
"18","2021-08-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.7655,"PurpleAir",2021,8,1,-12.798
"19","2021-08-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,27.426,"PurpleAir",2021,8,2,20.6605
"20","2021-08-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,27.734,"PurpleAir",2021,8,3,0.308000000000003
