"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day"
"1","2019-01-01",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028176,NA,"EPA",2019,1,1
"2","2019-01-02",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.022647,NA,"EPA",2019,1,2
"3","2019-01-03",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033824,NA,"EPA",2019,1,3
"4","2019-01-04",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039529,NA,"EPA",2019,1,4
"5","2019-01-05",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030824,NA,"EPA",2019,1,5
"6","2019-01-06",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030059,NA,"EPA",2019,1,6
"7","2019-01-07",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034059,NA,"EPA",2019,1,7
"8","2019-01-08",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036176,NA,"EPA",2019,1,8
"9","2019-01-09",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032941,NA,"EPA",2019,1,9
"10","2019-01-10",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.027882,NA,"EPA",2019,1,10
"11","2019-01-11",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.019,NA,"EPA",2019,1,11
"12","2019-01-12",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028647,NA,"EPA",2019,1,12
"13","2019-01-13",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.019118,NA,"EPA",2019,1,13
"14","2019-01-14",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.024824,NA,"EPA",2019,1,14
"15","2019-01-15",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.024118,NA,"EPA",2019,1,15
"16","2019-01-16",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032588,NA,"EPA",2019,1,16
"17","2019-01-17",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031647,NA,"EPA",2019,1,17
"18","2019-01-18",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.024176,NA,"EPA",2019,1,18
"19","2019-01-19",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028647,NA,"EPA",2019,1,19
"20","2019-01-20",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.027941,NA,"EPA",2019,1,20
"21","2019-01-21",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028235,NA,"EPA",2019,1,21
"22","2019-01-22",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028824,NA,"EPA",2019,1,22
"23","2019-01-23",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036235,NA,"EPA",2019,1,23
"24","2019-01-24",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033588,NA,"EPA",2019,1,24
"25","2019-01-25",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034706,NA,"EPA",2019,1,25
"26","2019-01-26",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038,NA,"EPA",2019,1,26
"27","2019-01-27",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034824,NA,"EPA",2019,1,27
"28","2019-01-28",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032765,NA,"EPA",2019,1,28
"29","2019-01-29",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.027882,NA,"EPA",2019,1,29
"30","2019-01-30",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031294,NA,"EPA",2019,1,30
"31","2019-01-31",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036882,NA,"EPA",2019,1,31
"32","2019-02-01",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030471,NA,"EPA",2019,2,1
"33","2019-02-02",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029615,NA,"EPA",2019,2,2
"34","2019-02-03",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.027588,NA,"EPA",2019,2,3
"35","2019-02-04",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.027765,NA,"EPA",2019,2,4
"36","2019-02-05",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.024588,NA,"EPA",2019,2,5
"37","2019-02-06",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028529,NA,"EPA",2019,2,6
"38","2019-02-07",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.026588,NA,"EPA",2019,2,7
"39","2019-02-08",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032882,NA,"EPA",2019,2,8
"40","2019-02-09",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032765,NA,"EPA",2019,2,9
"41","2019-02-10",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.023235,NA,"EPA",2019,2,10
"42","2019-02-11",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033824,NA,"EPA",2019,2,11
"43","2019-02-12",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036412,NA,"EPA",2019,2,12
"44","2019-02-13",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039235,NA,"EPA",2019,2,13
"45","2019-02-14",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.037294,NA,"EPA",2019,2,14
"46","2019-02-15",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.022882,NA,"EPA",2019,2,15
"47","2019-02-16",34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035118,NA,"EPA",2019,2,16
