time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,o3_diff,Note
03/13/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045235,NA,EPA,2019,3,13,0.026117,Storms happen during that time. True value
02/02/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.040353,NA,EPA,2023,2,2,0.025647,
12/28/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031529,NA,EPA,2019,12,28,0.021058,
11/26/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036118,NA,EPA,2023,11,26,0.020647,
04/27/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050588,NA,EPA,2023,4,27,0.019706,
09/08/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.064353,NA,EPA,2023,9,8,0.019471,
05/30/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.059471,NA,EPA,2022,5,30,0.019295,
05/13/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.052412,NA,EPA,2024,5,13,0.018941,
05/05/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049471,NA,EPA,2022,5,5,0.018412,
05/13/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049941,NA,EPA,2020,5,13,0.018294,
03/24/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046647,NA,EPA,2020,3,24,0.018235,
12/08/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032471,NA,EPA,2022,12,8,0.017942,
05/27/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039588,NA,EPA,2019,5,27,0.017882,
04/18/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050882,NA,EPA,2021,4,18,0.017882,
09/12/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.047176,NA,EPA,2020,9,12,0.017588,
11/23/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035765,NA,EPA,2019,11,23,0.01753,
05/21/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.054235,NA,EPA,2020,5,21,0.017,
01/27/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036176,NA,EPA,2024,1,27,0.016529,
03/18/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030941,NA,EPA,2020,3,18,0.016353,
08/11/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.058824,NA,EPA,2022,8,11,0.016059,
05/26/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046059,NA,EPA,2020,5,26,0.016,
10/20/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050059,NA,EPA,2023,10,20,0.015604,
02/04/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036647,NA,EPA,2021,2,4,0.015471,
10/04/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030235,NA,EPA,2019,10,4,0.01547,
03/23/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044176,NA,EPA,2021,3,23,0.015235,
07/18/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.055294,NA,EPA,2021,7,18,0.015235,
11/05/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029706,NA,EPA,2022,11,5,0.015235,
08/17/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.051857,NA,EPA,2022,8,17,0.01521,
10/11/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045294,NA,EPA,2021,10,11,0.014706,
02/26/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.040647,NA,EPA,2023,2,26,0.014647,
05/21/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044235,NA,EPA,2019,5,21,0.01447,
10/09/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036059,NA,EPA,2022,10,9,0.014294,
09/11/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029588,NA,EPA,2020,9,11,0.014117,
02/19/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044353,NA,EPA,2024,2,19,0.014,
08/06/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053471,NA,EPA,2023,8,6,0.013942,
10/26/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028706,NA,EPA,2020,10,26,0.013941,
